link,floor,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,pred_price,diff,marker
https://krasnodar.cian.ru/sale/flat/271009109/,12,1,40.0,4400000,2017,17.0,12.0,4066658.164140898,-7.5759508149795955,underpriced
https://novorossiysk.cian.ru/sale/flat/282337306/,5,1,32.0,4450000,1970,18.0,8.0,3590683.2967401454,-19.3104877137046,underpriced
https://krasnodar.cian.ru/sale/flat/279007889/,7,3,65.3,4469000,-1,35.4,12.6,3564401.0644158213,-20.24164098420628,underpriced
https://krasnodar.cian.ru/sale/flat/279229135/,3,2,45.3,4500000,1970,30.0,7.0,3978889.9116222123,-11.58022418617306,underpriced
https://krasnodar.cian.ru/sale/flat/280640180/,1,2,47.9,4500000,2012,29.6,9.7,4009754.6668704706,-10.894340736211765,underpriced
https://krasnodar.cian.ru/sale/flat/280769950/,20,1,39.0,4500000,2019,16.0,-1.0,3871194.622379147,-13.973452836018955,underpriced
https://novorossiysk.cian.ru/sale/flat/277892111/,5,1,31.2,4500000,1970,16.7,10.0,3607338.277479966,-19.836927167111867,underpriced
https://krasnodar.cian.ru/sale/flat/244551627/,2,3,60.8,4500000,1951,41.1,6.0,3608729.6999040125,-19.80600666879972,underpriced
https://krasnodar.cian.ru/sale/flat/278949236/,2,2,42.0,4500000,1975,25.5,9.0,3813278.9411624745,-15.260467974167234,underpriced
https://krasnodar.cian.ru/sale/flat/278316055/,15,1,43.2,4500000,2022,22.0,9.2,4132317.868774445,-8.17071402723456,underpriced
https://krasnodar.cian.ru/sale/flat/278008061/,3,2,88.1,4500000,2005,45.0,16.0,4883098.017439656,8.5132892764368,overpriced
https://krasnodar.cian.ru/sale/flat/281609658/,1,3,72.0,4599000,1977,50.0,8.0,4028400.6573369103,-12.407030716744723,underpriced
https://krasnodar.cian.ru/sale/flat/281431461/,7,2,69.5,4550000,2001,38.0,12.0,4693875.996143679,3.1621098053555854,overpriced
https://krasnodar.cian.ru/sale/flat/262902840/,1,1,47.0,4550000,2020,24.0,16.1,4176864.7941785064,-8.200773754318542,underpriced
https://krasnodar.cian.ru/sale/flat/282442872/,3,2,48.0,4600000,1969,35.0,10.0,4015170.970950058,-12.713674544563952,underpriced
https://krasnodar.cian.ru/sale/flat/280346407/,3,1,36.2,4600000,2019,15.0,10.2,3771949.515122982,-18.001097497326473,underpriced
https://krasnodar.cian.ru/sale/flat/278682672/,4,1,35.3,4600000,2010,14.4,10.2,3774299.490899126,-17.950011067410305,underpriced
https://krasnodar.cian.ru/sale/flat/277657341/,1,2,44.0,4600000,1961,29.0,6.0,3657350.3592156656,-20.492383495311618,underpriced
https://krasnodar.cian.ru/sale/flat/277066912/,5,1,35.0,4600000,1983,18.7,8.2,3751079.423178054,-18.454795148303177,underpriced
https://anapa.cian.ru/sale/flat/282692788/,1,1,26.0,4650000,2019,20.0,6.0,3468033.9490928897,-25.418624750690547,underpriced
https://krasnodar.cian.ru/sale/flat/277956056/,8,1,47.7,4660000,2015,23.1,12.9,4229402.687529654,-9.240285675329309,underpriced
https://krasnodar.cian.ru/sale/flat/268901336/,2,1,45.0,4700000,2020,13.0,18.0,4104266.428371009,-12.675182375084916,underpriced
https://krasnodar.cian.ru/sale/flat/278932443/,2,2,45.0,4700000,1978,30.0,6.0,3844355.1025653407,-18.205210583716156,underpriced
https://krasnodar.cian.ru/sale/flat/280467578/,21,2,42.3,4700000,2022,25.0,10.6,4288418.953231675,-8.757043548262242,underpriced
