id,days_to_done_x,price_at_moment,1000_to_done,700_to_done,500_to_done,300_to_done,max_price_after_invest,increase,increase_procent,days_for_increase,status,200_to_done,100_to_done,50_to_done,0_to_done,-50_to_done,-100_to_done,risk,community,liter_num,done_date,developer,floor,area,num_beds,days_to_done_y
ed6ec0af-d930-4d07-b42d-08a8fd021528,313,5016272,5286917,5206719,5101421,5016272,5016272,0,0.0,13,short,5000850,4869246,4869246,4759181,4759181,4705955,bad,ЖК «Зеленодар»,4Б,2023-09-15,"ООО «Модо Капитал», ",2,42.0,1,313
15c91f21-e1d0-4798-83b0-07fb966bfc75,313,6890721,7707613,7131439,6998132,6890721,7459701,568980,8.26,363,short,6993879,7315935,7315935,7459701,7459701,7375767,good,ЖК «Зеленодар»,4Б,2023-09-15,"ООО «Модо Капитал», ",2-8,70.0,2,313
8ce832fe-dd51-4a85-b0c5-ff8891fdb861,313,8786117,9824340,9186412,9010397,8786117,9616961,830844,9.46,413,long,8724370,9388647,9388647,9540851,9540851,9616961,good,ЖК «Зеленодар»,4Б,2023-09-15,"ООО «Модо Капитал», ",2-4,90.0,3,313
f9808372-39f2-4d1f-92ad-393eae9556ae,129,3653925,3778338,3735798,3721475,3676690,3653925,0,0.0,79,short,3678979,3653925,3653925,3602466,3602466,3556631,bad,ЖК «Зеленодар»,2,2023-03-15,"ООО «Модо Капитал», ",2-4,27.0,1,129
dc8ebb62-ebc2-4803-9f77-9bf2b45e1bcc,129,5827031,6045738,5715049,5628164,5539798,5894539,67508,1.16,179,short,5616385,5827031,5827031,5894539,5894539,5830737,riskey,ЖК «Зеленодар»,2,2023-03-15,"ООО «Модо Капитал», ",2-4,54.0,2,129
6530ea19-bc14-44ea-92bd-eb39028b2876,129,7029651,7540048,6984610,6857015,6770372,7113411,83760,1.19,179,short,6837078,7029651,7029651,7113411,7113411,7037062,riskey,ЖК «Зеленодар»,2,2023-03-15,"ООО «Модо Капитал», ",2-4,67.0,2,129
8be188a5-c030-48db-9f0b-2b52fed5576f,28,4051123,4257081,4275863,4225994,4227766,4051123,0,0.0,78,short,4176975,4149675,4149675,4051123,4051123,4048747,bad,ЖК «Смородина»,1,2023-03-15,ООО «АЛЬФА»,1-4,32.0,1,28
5f32742f-c6b7-40d4-89c9-803b0c05c81b,28,4446567,4688287,4709698,4654842,4656792,4446567,0,0.0,78,short,4600921,4570891,4570891,4446567,4446567,4430335,bad,ЖК «Смородина»,1,2023-03-15,ООО «АЛЬФА»,1-4,35.2,1,28
b12989e8-3631-4599-a9da-e884bc28311f,28,4051123,4257081,4275863,4225994,4227766,4051123,0,0.0,78,short,4176975,4149675,4149675,4051123,4051123,4048747,bad,ЖК «Смородина»,5,2023-03-15,ООО «АЛЬФА»,1-4,32.0,1,28
63c41d5e-e607-4368-a2d6-10a3039ff63e,28,4446567,4688287,4709698,4654842,4656792,4446567,0,0.0,78,short,4600921,4570891,4570891,4446567,4446567,4430335,bad,ЖК «Смородина»,5,2023-03-15,ООО «АЛЬФА»,1-4,35.2,1,28
7ea1acde-746b-468f-b266-e5dd6d66ca74,303,4227766,4257081,4275863,4225994,4227766,4227766,0,0.0,3,short,4176975,4149675,4149675,4051123,4051123,4048747,bad,ЖК «Смородина»,4,2023-12-15,ООО «АЛЬФА»,1,32.0,1,303
028809f2-829c-452e-8576-220ab4dbd33d,303,4656792,4688287,4709698,4654842,4656792,4656792,0,0.0,3,short,4600921,4570891,4570891,4446567,4446567,4430335,bad,ЖК «Смородина»,4,2023-12-15,ООО «АЛЬФА»,1,35.2,1,303
54f98e28-5f73-4267-930d-5fcb6de9a3db,303,5513751,5733590,5606903,5495606,5513751,5867835,354084,6.42,253,short,5608027,5867835,5867835,5759654,5759654,5704205,riskey,ЖК «Смородина»,4,2023-12-15,ООО «АЛЬФА»,1,50.0,2,303
2adb1558-a576-4823-b5b1-ae1d6e5d1189,303,4227766,4257081,4275863,4225994,4227766,4227766,0,0.0,3,short,4176975,4149675,4149675,4051123,4051123,4048747,bad,ЖК «Смородина»,2-3,2023-12-15,ООО «АЛЬФА»,1,32.0,1,303
677d6c49-4e87-44cb-b650-f21ee5eebb15,303,4656792,4688287,4709698,4654842,4656792,4656792,0,0.0,3,short,4600921,4570891,4570891,4446567,4446567,4430335,bad,ЖК «Смородина»,2-3,2023-12-15,ООО «АЛЬФА»,1,35.2,1,303
fe5cb067-79d2-4fc3-8913-04355bbc7f00,303,5513751,5733590,5606903,5495606,5513751,5867835,354084,6.42,253,short,5608027,5867835,5867835,5759654,5759654,5704205,riskey,ЖК «Смородина»,2-3,2023-12-15,ООО «АЛЬФА»,1,50.0,2,303
